name,car_type,version,kms_driven,ownership_status,oil_type,down_payment,original_price,reduced_price,City
2019 Hyundai Elite i20,ASTA (O) CVT,Automatic,"48,934 km",2nd Owner,Petrol,"₹14,213/month","₹8,02,000","₹7,27,000",Hyderabad
2018 Hyundai Elite i20,SPORTZ 1.2,Manual,"55,943 km",1st Owner,Petrol,"₹12,395/month","₹6,52,000","₹6,34,000",Hyderabad
2014 Honda Brio,S MT,Manual,"69,196 km",2nd Owner,Petrol,"₹7,585/month","₹3,97,000","₹3,88,000",Hyderabad
2022 Volkswagen VIRTUS,HIGHLINE TSI 1.0 MT,Manual,"23,777 km",1st Owner,Petrol,"₹23,926/month","₹13,13,000","₹12,57,000",Hyderabad
2016 Volkswagen Polo,COMFORTLINE 1.2L,Manual,"96,940 km",1st Owner,Petrol,"₹9,365/month","₹5,00,000","₹4,79,000",Hyderabad
2018 Maruti Dzire,VXI AMT,Automatic,"50,835 km",2nd Owner,Petrol,"₹12,160/month","₹6,47,000","₹6,22,000",Hyderabad
2013 Hyundai i20,MAGNA (O) 1.2,Manual,"92,716 km",2nd Owner,Petrol,"₹7,488/month","₹3,94,000","₹3,83,000",Hyderabad
2014 Hyundai Elite i20,ASTA 1.2,Manual,"63,540 km",2nd Owner,Petrol,"₹10,362/month","₹5,88,000","₹5,30,000",Hyderabad
2018 Hyundai i20 Active,1.2 SX DUAL TONE,Manual,"72,011 km",1st Owner,Petrol,"₹13,314/month","₹7,50,000","₹6,81,000",Hyderabad
2013 Hyundai Eon,ERA +,Manual,"24,996 km",2nd Owner,Petrol,"₹5,083/month","₹2,66,000","₹2,60,000",Hyderabad
2019 Skoda Rapid,STYLE 1.5 TDI,Manual,"91,331 km",1st Owner,Diesel,"₹15,836/month","₹8,69,000","₹8,32,000",Hyderabad
2020 Renault Kwid,RXT 0.8,Manual,"31,920 km",2nd Owner,Petrol,"₹8,993/month","₹4,88,000","₹4,60,000",Hyderabad
2017 Maruti Wagon R 1.0,VXI+ (O) MT,Manual,"34,902 km",2nd Owner,Petrol,"₹8,856/month","₹5,02,000","₹4,53,000",Hyderabad
